value, reading, date, time, label
1, motion detected, 2015/4/14, 13:34:4,1429018444
2, motion detected, 2015/4/14, 13:34:13,1429018453
3, motion detected, 2015/4/14, 13:44:21,1429019061
4, motion detected, 2015/4/14, 13:44:31,1429019071
5, motion detected, 2015/4/14, 13:44:56,1429019096
6, motion detected, 2015/4/14, 13:45:14,1429019114
7, motion detected, 2015/4/14, 13:45:23,1429019123
8, motion detected, 2015/4/14, 13:45:43,1429019143
9, motion detected, 2015/4/14, 13:53:27,1429019607
10, motion detected, 2015/4/14, 13:53:37,1429019617
11, motion detected, 2015/4/14, 13:53:48,1429019628
12, motion detected, 2015/4/14, 13:54:1,1429019641
13, motion detected, 2015/4/14, 13:54:17,1429019657
14, motion detected, 2015/4/14, 13:55:43,1429019743
15, motion detected, 2015/4/14, 13:55:52,1429019752
16, motion detected, 2015/4/14, 13:56:19,1429019779
17, motion detected, 2015/4/14, 13:57:56,1429019876
18, motion detected, 2015/4/14, 13:58:6,1429019886
19, motion detected, 2015/4/14, 13:58:36,1429019916
20, motion detected, 2015/4/14, 14:0:53,1429020053
21, motion detected, 2015/4/14, 14:1:7,1429020067
22, motion detected, 2015/4/14, 14:2:50,1429020170
23, motion detected, 2015/4/14, 14:3:10,1429020190
24, motion detected, 2015/4/14, 14:4:6,1429020246
25, motion detected, 2015/4/14, 14:6:3,1429020363
26, motion detected, 2015/4/14, 14:6:13,1429020373
27, motion detected, 2015/4/14, 14:6:23,1429020383
28, motion detected, 2015/4/14, 14:6:56,1429020416
29, motion detected, 2015/4/14, 14:13:2,1429020782
30, motion detected, 2015/4/14, 14:13:52,1429020832
31, motion detected, 2015/4/14, 14:15:55,1429020955
32, motion detected, 2015/4/14, 14:16:5,1429020965
33, motion detected, 2015/4/14, 14:17:17,1429021037
34, motion detected, 2015/4/14, 14:17:53,1429021073
35, motion detected, 2015/4/14, 14:18:3,1429021083
36, motion detected, 2015/4/14, 14:18:50,1429021130
37, motion detected, 2015/4/14, 14:19:55,1429021195
38, motion detected, 2015/4/14, 14:20:21,1429021221
39, motion detected, 2015/4/14, 14:22:11,1429021331
40, motion detected, 2015/4/14, 14:22:36,1429021356
41, motion detected, 2015/4/14, 14:23:3,1429021383
42, motion detected, 2015/4/14, 14:25:28,1429021528
43, motion detected, 2015/4/14, 14:25:50,1429021550
44, motion detected, 2015/4/14, 14:30:27,1429021827
45, motion detected, 2015/4/14, 14:30:45,1429021845
46, motion detected, 2015/4/14, 14:30:58,1429021858
47, motion detected, 2015/4/14, 14:31:7,1429021867
48, motion detected, 2015/4/14, 14:33:0,1429021980
49, motion detected, 2015/4/14, 14:34:26,1429022066
50, motion detected, 2015/4/14, 14:35:19,1429022119
51, motion detected, 2015/4/14, 14:35:56,1429022156
52, motion detected, 2015/4/14, 14:36:14,1429022174
53, motion detected, 2015/4/14, 14:36:23,1429022183
54, motion detected, 2015/4/14, 14:37:15,1429022235
55, motion detected, 2015/4/14, 14:37:32,1429022252
56, motion detected, 2015/4/14, 14:37:58,1429022278
57, motion detected, 2015/4/14, 14:39:13,1429022353
58, motion detected, 2015/4/14, 14:39:52,1429022392
59, motion detected, 2015/4/14, 14:40:19,1429022419
60, motion detected, 2015/4/14, 14:40:36,1429022436
61, motion detected, 2015/4/14, 14:41:31,1429022491
62, motion detected, 2015/4/14, 14:42:44,1429022564
63, motion detected, 2015/4/14, 14:42:57,1429022577
64, motion detected, 2015/4/14, 14:45:8,1429022708
65, motion detected, 2015/4/14, 14:45:18,1429022718
66, motion detected, 2015/4/14, 14:47:39,1429022859
67, motion detected, 2015/4/14, 14:50:38,1429023038
68, motion detected, 2015/4/14, 14:52:28,1429023148
69, motion detected, 2015/4/14, 14:53:38,1429023218
70, motion detected, 2015/4/14, 14:55:47,1429023347
71, motion detected, 2015/4/14, 14:56:59,1429023419
72, motion detected, 2015/4/14, 14:58:1,1429023481
73, motion detected, 2015/4/14, 14:58:30,1429023510
74, motion detected, 2015/4/14, 14:58:57,1429023537
75, motion detected, 2015/4/14, 14:59:37,1429023577
76, motion detected, 2015/4/14, 15:0:28,1429023628
77, motion detected, 2015/4/14, 15:0:57,1429023657
78, motion detected, 2015/4/14, 15:1:15,1429023675
79, motion detected, 2015/4/14, 15:3:20,1429023800
80, motion detected, 2015/4/14, 15:3:50,1429023830
81, motion detected, 2015/4/14, 15:4:10,1429023850
82, motion detected, 2015/4/14, 15:4:40,1429023880
83, motion detected, 2015/4/14, 15:5:6,1429023906
84, motion detected, 2015/4/14, 15:5:31,1429023931
85, motion detected, 2015/4/14, 15:5:54,1429023954
86, motion detected, 2015/4/14, 15:6:11,1429023971
87, motion detected, 2015/4/14, 15:6:22,1429023982
88, motion detected, 2015/4/14, 15:8:43,1429024123
89, motion detected, 2015/4/14, 15:8:52,1429024132
90, motion detected, 2015/4/14, 15:9:9,1429024149
